FileName,Plot,NDVI_IndexAvg,GapFraction,Openness,LAI(Bonhom)-Lin,LAI(2000)-Lin,LAI(2000G)-Lin,LAI(Sphere)-Lin,LAI(Ellips)-Lin,MeanLeafAngle-Lin,LAI(Bonhom)-Log,LAI(2000)-Log,LAI(2000G)-Log,LAI(Sphere)-Log,LAI(Ellips)-Log,MeanLeafAngle-Log,NofZeroGapFrRgn,CI(Bonhom),CI(2000),CI(2000G),CI(Sphere),CI(Ellips),CI(GSD)
d01ec.JPG,d01e,0.714,6.60,6.69,3.18,3.04,2.71,3.88,2.93,4.50,3.92,3.53,3.38,5.07,3.72,3.78,6,0.81,0.86,0.80,0.77,0.79,1.000
d01ee.JPG,d01e,0.723,6.22,6.43,3.05,3.01,2.67,3.33,2.67,7.20,3.45,3.58,3.45,4.57,3.50,4.86,2,0.88,0.84,0.77,0.73,0.76,1.000
d01en.JPG,d01e,0.622,10.32,11.34,2.59,2.39,2.09,2.16,1.97,15.30,3.53,2.89,2.65,2.85,2.55,12.78,0,0.74,0.83,0.79,0.76,0.77,1.000
d01es.JPG,d01e,0.725,6.55,6.48,3.17,3.22,2.95,4.55,3.28,1.62,3.47,3.56,3.43,5.45,3.87,1.44,7,0.91,0.90,0.86,0.83,0.85,1.000
d01ew.JPG,d01e,0.649,7.49,7.43,2.55,3.07,2.96,4.37,3.16,4.14,3.20,3.50,3.51,5.20,3.74,2.88,2,0.80,0.88,0.84,0.84,0.85,1.000
d01wc.JPG,d01w,0.647,8.61,9.13,2.40,2.49,2.26,2.86,2.35,12.24,3.74,3.39,3.32,4.37,3.40,9.36,2,0.64,0.73,0.68,0.66,0.69,1.000
d01we.JPG,d01w,0.677,7.39,7.46,2.92,2.93,2.66,3.29,2.57,9.90,3.38,3.51,3.39,4.54,3.40,6.66,1,0.86,0.83,0.78,0.72,0.76,1.000
d01wn.JPG,d01w,0.748,7.33,7.88,2.77,2.80,2.45,3.10,2.57,9.90,4.70,3.65,3.48,4.28,3.48,7.92,0,0.59,0.77,0.70,0.72,0.74,1.000
d01ws.JPG,d01w,0.655,7.56,8.18,3.09,2.76,2.38,2.57,2.25,14.58,3.64,3.19,2.93,3.18,2.75,13.68,0,0.85,0.87,0.81,0.81,0.82,1.000
d01ww.JPG,d01w,0.602,11.69,12.12,1.75,2.30,2.11,3.18,2.39,9.54,2.93,2.91,2.86,4.41,3.23,7.20,2,0.60,0.79,0.74,0.72,0.74,1.000
d03ec.JPG,d03e,0.671,10.29,11.00,2.24,2.34,2.06,2.46,2.08,13.14,3.25,3.16,2.99,3.68,2.97,11.88,1,0.69,0.74,0.69,0.67,0.70,1.000
d03ee.JPG,d03e,0.713,7.23,7.31,2.70,3.16,2.93,5.24,3.62,2.16,2.97,3.50,3.46,6.16,4.22,2.34,19,0.91,0.90,0.85,0.85,0.86,1.000
d03en.JPG,d03e,0.714,9.05,9.62,2.19,2.53,2.22,2.75,2.27,11.16,5.61,5.06,5.03,6.40,4.83,3.60,35,0.39,0.50,0.44,0.43,0.47,1.000
d03es.JPG,d03e,0.828,2.74,2.72,4.75,4.21,3.79,5.18,3.90,1.44,6.11,4.73,4.63,6.67,4.87,1.44,8,0.78,0.89,0.82,0.78,0.80,1.000
d03ew.JPG,d03e,0.829,2.71,2.69,4.82,4.22,3.79,5.19,3.91,1.44,6.10,4.72,4.61,6.68,4.88,1.44,9,0.79,0.89,0.82,0.78,0.80,1.000
d03exxx.JPG,d03e,0.859,3.54,3.33,3.50,4.71,4.67,6.91,4.76,1.44,6.89,6.74,6.95,9.76,6.92,1.44,50,0.51,0.70,0.67,0.71,0.69,1.000
d03exxxx.JPG,d03e,0.676,7.35,7.48,2.74,2.82,2.58,3.43,2.65,7.20,3.14,3.34,3.22,4.39,3.33,6.30,0,0.87,0.85,0.80,0.78,0.80,1.000
d03wc.JPG,d03w,0.700,6.09,6.62,3.50,2.98,2.60,2.90,2.53,10.62,4.67,3.58,3.37,3.98,3.32,8.10,0,0.75,0.83,0.77,0.73,0.76,1.000
d03we.JPG,d03w,0.706,6.94,7.27,2.31,3.00,2.82,4.79,3.46,6.12,3.53,3.94,3.77,5.98,4.40,5.22,7,0.65,0.76,0.75,0.80,0.79,1.000
d03wn.JPG,d03w,0.649,8.77,9.40,3.17,2.63,2.32,3.24,2.59,7.38,3.55,3.10,2.89,4.26,3.32,8.10,2,0.89,0.85,0.80,0.76,0.78,1.000
d03ws.JPG,d03w,0.630,9.85,10.78,2.67,2.39,2.06,2.24,2.02,17.64,3.26,2.96,2.74,3.13,2.66,15.30,1,0.82,0.81,0.75,0.72,0.76,1.000
d03ww.JPG,d03w,0.803,4.18,4.36,3.77,3.46,3.09,4.31,3.33,5.76,6.64,4.86,4.69,6.60,4.95,1.44,16,0.57,0.71,0.66,0.65,0.67,1.000
d04ec.JPG,d04e,0.614,13.00,13.51,1.66,2.09,1.94,2.35,1.91,12.42,2.33,2.48,2.44,2.95,2.42,12.06,1,0.71,0.84,0.80,0.80,0.79,1.000
d04ee.JPG,d04e,0.736,5.28,5.09,3.15,4.02,3.94,6.32,4.31,1.44,5.17,5.46,5.38,8.07,5.70,1.44,22,0.61,0.74,0.73,0.78,0.76,1.000
d04en.JPG,d04e,0.496,21.09,22.14,2.14,1.54,1.43,2.14,1.65,14.58,2.69,1.96,1.98,2.96,2.24,11.88,0,0.80,0.78,0.72,0.72,0.74,1.000
d04es.JPG,d04e,0.472,20.74,21.79,1.37,1.52,1.40,1.81,1.48,13.50,1.77,2.13,2.15,2.66,2.22,14.58,0,0.78,0.71,0.65,0.68,0.67,1.000
d04ew.JPG,d04e,0.564,12.59,12.73,2.32,2.34,2.15,3.46,2.49,4.32,3.34,3.00,2.92,4.45,3.23,5.94,2,0.69,0.78,0.73,0.78,0.77,1.000
DSC01123.JPG,d04w,0.656,10.49,10.14,2.32,3.27,3.12,4.90,3.32,1.44,3.23,3.65,3.73,6.13,4.12,1.44,11,0.72,0.90,0.84,0.80,0.80,1.000
DSC01124.JPG,d04w,0.544,15.26,15.87,1.77,1.98,1.81,2.76,2.08,9.54,2.43,2.61,2.66,4.29,3.09,8.10,6,0.73,0.76,0.68,0.64,0.67,1.000
DSC01125.JPG,d04w,0.441,23.29,25.68,1.32,1.30,1.23,1.12,1.13,32.94,3.99,2.47,2.54,2.21,2.31,21.60,10,0.33,0.52,0.48,0.51,0.49,1.000
DSC01126.JPG,d04w,0.393,22.72,24.64,1.27,1.30,1.27,1.50,1.36,27.54,2.56,1.94,1.92,2.13,1.96,28.80,4,0.49,0.67,0.66,0.71,0.69,1.000
DSC01127.JPG,d04w,0.545,15.21,15.95,1.58,1.90,1.73,2.39,1.88,15.12,1.98,2.40,2.32,3.09,2.50,16.38,2,0.80,0.79,0.75,0.77,0.75,1.000
DSC01131.JPG,c04e,0.760,5.45,5.51,2.80,3.20,3.01,4.12,3.12,9.00,3.25,3.55,3.39,4.70,3.55,8.28,0,0.86,0.90,0.89,0.88,0.88,1.000
DSC01132.JPG,c04e,0.679,8.46,9.36,2.60,2.59,2.30,3.06,2.58,16.20,3.20,3.29,3.09,4.16,3.41,12.06,1,0.81,0.79,0.75,0.74,0.76,1.000
DSC01133.JPG,c04e,0.678,6.93,7.45,2.92,2.70,2.49,2.91,2.48,16.20,3.12,3.13,3.10,3.65,3.03,13.86,0,0.93,0.86,0.80,0.80,0.82,1.000
DSC01134.JPG,c04e,0.877,1.84,1.79,4.68,4.97,4.56,7.08,4.99,1.44,5.20,5.38,5.23,8.04,5.59,1.44,20,0.90,0.92,0.87,0.88,0.89,1.000
DSC01135.JPG,c04e,0.789,3.79,4.03,3.89,3.47,3.07,3.76,3.08,11.34,4.12,4.03,3.76,4.77,3.77,9.18,0,0.94,0.86,0.82,0.79,0.82,1.000
DSC01137.JPG,c04w,0.768,3.43,3.60,3.81,3.61,3.19,4.13,3.29,9.72,4.74,3.99,3.70,4.89,3.84,10.08,1,0.81,0.90,0.86,0.84,0.86,1.000
DSC01138.JPG,c04w,0.730,3.61,3.94,3.04,3.55,3.21,3.41,2.98,12.60,4.43,4.01,3.76,4.05,3.50,12.24,0,0.69,0.89,0.86,0.84,0.85,1.000
DSC01139.JPG,c04w,0.858,2.03,2.02,4.06,4.52,4.14,5.97,4.41,3.78,4.77,5.45,5.25,7.78,5.57,1.44,22,0.85,0.83,0.79,0.77,0.79,1.000
DSC01140.JPG,c04w,0.782,4.07,4.26,3.35,3.38,3.11,4.29,3.34,10.26,4.20,3.82,3.63,5.16,3.96,9.36,4,0.80,0.89,0.86,0.83,0.84,1.000
DSC01141.JPG,c04w,0.870,2.18,2.28,3.23,4.15,3.86,5.82,4.38,5.22,5.58,4.88,4.81,7.14,5.31,3.96,15,0.58,0.85,0.80,0.81,0.83,1.000
DSC01143.JPG,c03e,0.742,3.87,4.20,3.49,3.33,3.00,3.67,3.09,12.42,4.25,4.01,3.75,4.72,3.85,11.16,1,0.82,0.83,0.80,0.78,0.80,1.000
DSC01144.JPG,c03e,0.743,3.89,4.16,4.11,3.48,3.07,4.13,3.29,9.54,4.90,4.34,4.23,5.70,4.40,8.64,7,0.84,0.80,0.72,0.73,0.75,1.000
DSC01145.JPG,c03e,0.729,4.56,4.78,2.63,3.31,2.97,3.93,3.10,10.62,3.59,3.68,3.46,4.58,3.61,9.90,1,0.73,0.90,0.86,0.86,0.86,1.000
DSC01146.JPG,c03e,0.705,2.88,3.17,4.08,3.76,3.38,4.01,3.39,11.34,5.50,4.21,3.98,4.76,3.98,10.98,1,0.74,0.89,0.85,0.84,0.85,1.000
DSC01147.JPG,c03e,0.693,4.19,4.89,4.69,3.85,3.36,3.32,3.21,15.66,5.25,4.56,4.40,4.41,4.08,14.04,5,0.89,0.84,0.76,0.75,0.79,1.000
DSC01149.JPG,c03w,0.809,2.61,2.68,3.29,4.11,3.70,5.33,4.01,5.04,3.79,4.40,4.14,6.25,4.59,4.68,8,0.87,0.93,0.89,0.85,0.87,1.000
DSC01150.JPG,c03w,0.684,3.92,4.31,4.12,3.40,3.00,3.66,3.09,12.60,4.89,3.81,3.55,4.67,3.78,9.90,2,0.84,0.89,0.85,0.78,0.82,1.000
DSC01151.JPG,c03w,0.803,2.65,2.79,3.77,3.86,3.47,4.66,3.68,7.74,4.17,4.23,3.99,5.74,4.40,6.66,8,0.91,0.91,0.87,0.81,0.84,1.000
DSC01152.JPG,c03w,0.806,3.20,3.32,3.46,3.70,3.34,4.38,3.43,8.10,4.02,4.06,3.84,5.49,4.13,6.30,7,0.86,0.91,0.87,0.80,0.83,1.000
DSC01153.JPG,c03w,0.851,1.77,1.83,4.40,4.34,3.93,4.91,3.91,7.56,5.60,4.77,4.53,5.85,4.55,6.48,2,0.79,0.91,0.87,0.84,0.86,1.000
DSC01156.JPG,c02e,0.816,3.09,3.16,3.63,3.90,3.56,4.61,3.57,7.92,5.07,4.67,4.55,6.05,4.60,8.64,6,0.72,0.83,0.78,0.76,0.78,1.000
DSC01157.JPG,c02e,0.729,3.71,4.04,3.36,3.44,3.04,3.45,2.96,13.86,3.88,3.87,3.68,4.21,3.60,14.94,2,0.86,0.89,0.83,0.82,0.82,1.000
DSC01158.JPG,c02e,0.815,2.59,2.98,5.31,4.32,3.73,4.04,3.72,11.88,6.67,4.66,4.29,4.75,4.31,12.24,5,0.80,0.93,0.87,0.85,0.86,1.000
DSC01159.JPG,c02e,0.738,3.37,3.68,3.73,3.54,3.15,3.67,3.16,12.24,5.04,4.02,3.77,4.46,3.81,13.14,2,0.74,0.88,0.84,0.82,0.83,1.000
DSC01160.JPG,c02e,0.830,2.16,2.33,3.91,4.02,3.64,4.26,3.58,13.32,5.41,4.62,4.60,5.63,4.56,11.34,8,0.72,0.87,0.79,0.76,0.78,1.000
DSC01162.JPG,c02w,0.683,4.64,5.15,2.88,3.21,2.84,3.39,2.95,13.86,3.67,3.78,3.52,4.41,3.69,14.40,4,0.78,0.85,0.81,0.77,0.80,1.000
DSC01163.JPG,c02w,0.723,4.58,4.89,2.85,3.24,2.91,3.37,2.83,12.78,4.23,3.96,3.99,4.64,3.86,12.78,6,0.67,0.82,0.73,0.73,0.73,1.000
DSC01164.JPG,c02w,0.831,2.89,2.88,3.57,4.01,3.73,4.88,3.73,3.96,4.84,4.68,4.53,6.21,4.65,6.12,8,0.74,0.86,0.83,0.79,0.80,1.000
DSC01165.JPG,c02w,0.645,6.69,7.18,2.94,2.74,2.50,3.36,2.71,12.96,3.26,3.21,3.08,4.43,3.44,11.70,5,0.90,0.85,0.81,0.76,0.79,1.000
DSC01166.JPG,c02w,0.836,2.94,2.91,4.71,4.10,3.74,4.78,3.67,3.42,6.44,4.67,4.75,6.11,4.70,6.12,9,0.73,0.88,0.79,0.78,0.78,1.000
DSC01168.JPG,c01e,0.723,5.78,6.20,3.61,2.98,2.68,3.30,2.74,14.22,4.23,3.39,3.17,3.92,3.24,17.28,3,0.85,0.88,0.84,0.84,0.85,1.000
DSC01169.JPG,c01e,0.706,5.54,5.73,2.89,3.13,2.86,4.01,3.06,10.08,3.37,3.62,3.53,5.16,3.81,11.16,4,0.86,0.87,0.81,0.78,0.80,1.000
DSC01170.JPG,c01e,0.679,5.94,6.51,3.14,3.01,2.68,2.75,2.45,14.94,3.73,3.73,3.45,3.57,3.22,17.10,6,0.84,0.81,0.78,0.77,0.76,1.000
DSC01171.JPG,c01e,0.787,4.15,4.63,6.13,3.67,3.27,4.23,3.47,15.12,6.93,4.34,4.19,5.48,4.50,12.42,8,0.88,0.85,0.78,0.77,0.77,1.000
DSC01172.JPG,c01e,0.700,6.16,6.58,2.95,3.00,2.70,3.74,2.96,9.72,3.38,3.43,3.35,4.56,3.64,13.14,3,0.87,0.88,0.81,0.82,0.81,1.000
DSC01174.JPG,c01w,0.692,5.44,5.78,3.09,3.08,2.84,3.10,2.62,14.04,3.66,3.62,3.57,4.06,3.33,14.04,2,0.84,0.85,0.79,0.76,0.79,1.000
DSC01175.JPG,c01w,0.776,4.16,4.33,3.03,3.47,3.22,4.74,3.57,7.56,3.82,4.07,4.05,6.37,4.63,6.48,13,0.79,0.85,0.80,0.74,0.77,1.000
DSC01176.JPG,c01w,0.674,6.79,7.45,2.69,2.77,2.49,3.05,2.64,17.28,3.10,3.14,2.95,3.84,3.19,18.18,3,0.87,0.88,0.85,0.79,0.83,1.000
DSC01177.JPG,c01w,0.695,5.90,6.60,3.74,3.00,2.67,2.97,2.64,15.30,4.74,4.03,3.81,4.49,3.75,12.60,5,0.79,0.74,0.70,0.66,0.70,1.000
DSC01178.JPG,c01w,0.646,7.44,7.77,2.66,2.73,2.56,3.59,2.77,12.78,3.55,3.31,3.21,4.68,3.54,10.62,3,0.75,0.82,0.80,0.77,0.78,1.000
DSC01181.JPG,d01w,0.795,3.17,3.35,3.71,3.68,3.26,3.84,3.17,12.60,4.77,4.12,3.81,4.61,3.74,11.52,0,0.78,0.89,0.86,0.83,0.85,1.000
DSC01182.JPG,d01w,0.714,4.95,5.17,3.07,3.18,2.96,4.29,3.27,11.88,3.30,3.58,3.58,5.59,4.07,10.26,12,0.93,0.89,0.83,0.77,0.80,1.000
DSC01183.JPG,d01w,0.856,1.79,1.89,4.10,4.34,3.83,4.67,3.80,8.46,4.69,4.89,4.52,6.13,4.72,6.48,6,0.87,0.89,0.85,0.76,0.81,1.000
DSC01184.JPG,d01w,0.662,5.27,5.84,3.71,3.12,2.75,3.42,2.89,15.12,4.24,3.41,3.13,3.96,3.27,14.04,0,0.87,0.92,0.88,0.86,0.88,1.000
DSC01185.JPG,d01w,0.701,5.68,5.85,2.50,3.04,2.80,3.61,2.84,10.62,3.10,3.27,3.09,4.02,3.14,12.42,0,0.81,0.93,0.91,0.90,0.91,1.000
DSC01187.JPG,d01e,0.738,5.61,5.84,2.89,3.06,2.73,3.53,2.80,7.74,3.11,3.29,3.02,4.03,3.17,9.18,0,0.93,0.93,0.90,0.87,0.89,1.000
DSC01188.JPG,d01e,0.689,5.82,6.22,2.63,2.95,2.61,3.13,2.63,9.36,3.27,3.19,2.97,3.68,3.03,9.36,0,0.80,0.92,0.88,0.85,0.87,1.000
DSC01189.JPG,d01e,0.817,3.62,3.73,3.21,3.59,3.27,4.13,3.27,7.74,4.08,4.31,4.27,5.85,4.39,4.50,7,0.79,0.83,0.77,0.71,0.74,1.000
DSC01190.JPG,d01e,0.748,4.37,4.46,3.39,3.44,3.08,3.89,3.06,7.38,3.74,3.70,3.50,4.87,3.67,6.66,5,0.91,0.93,0.88,0.80,0.83,1.000
