,week,plotlong,plotlong,plot,SubPlotID,group,plot.side,nps,treatment,severity,NDVI_IndexAvg,GapFraction,Openness,LAI(Bonhom)-Lin,LAI(2000)-Lin,LAI(2000G)-Lin,LAI(Sphere)-Lin,LAI(Ellips)-Lin,MeanLeafAngle-Lin,LAI(Bonhom)-Log,LAI(2000)-Log,LAI(2000G)-Log,LAI(Sphere)-Log,LAI(Ellips)-Log,MeanLeafAngle-Log,NofZeroGapFrRgn,CI(Bonhom),CI(2000),CI(2000G),CI(Sphere),CI(Ellips),CI(GSD)
7/11/2018,0,,DSC01188.JPG,d01e,D01E,D,E,E,,,0.689,5.82,6.22,2.63,2.95,2.61,3.13,2.63,9.36,3.27,3.19,2.97,3.68,3.03,9.36,0,0.8,0.92,0.88,0.85,0.87,1
7/11/2018,0,,DSC01189.JPG,d01e,D01E,D,E,N,,,0.817,3.62,3.73,3.21,3.59,3.27,4.13,3.27,7.74,4.08,4.31,4.27,5.85,4.39,4.5,7,0.79,0.83,0.77,0.71,0.74,1
7/11/2018,0,,DSC01190.JPG,d01e,D01E,D,E,S,,,0.748,4.37,4.46,3.39,3.44,3.08,3.89,3.06,7.38,3.74,3.7,3.5,4.87,3.67,6.66,5,0.91,0.93,0.88,0.8,0.83,1
1191,0,,DSC01191.JPG,,D01E,D,E,W,,,0.697,5.08,5.54,3.45,3.17,2.78,3.02,2.63,13.68,3.74,3.51,3.3,3.8,3.15,12.78,0,0.92,0.9,0.84,0.79,0.83,1
1249,0,,DSC01249.JPG,,B04E,B,E,C,,,0.795,3.52,3.71,3.16,3.53,3.23,4.43,3.46,9,4.2,4.33,4.14,5.57,4.33,7.2,2,0.75,0.81,0.78,0.79,0.8,1
1250,0,,DSC01250.JPG,,B04E,B,E,N,,,0.81,3.68,3.75,3.22,3.63,3.26,4.21,3.29,5.94,3.5,3.91,3.67,4.88,3.76,5.76,1,0.92,0.93,0.89,0.86,0.87,1
1251,0,,DSC01251.JPG,,B04E,B,E,E,,,0.82,3.02,3.35,3.7,3.92,3.34,3.64,3.23,11.16,6,4.59,4.18,4.72,4.08,8.46,0,0.62,0.85,0.8,0.77,0.79,1
1252,0,,DSC01252.JPG,,B04E,B,E,S,,,0.724,5.08,5.27,3.79,3.22,2.87,3.57,2.88,7.2,3.96,3.45,3.25,4.18,3.28,7.02,0,0.96,0.93,0.88,0.86,0.88,1
1254,0,,DSC01254.JPG,,B04E,B,E,W,,,0.719,4.98,5.22,2.92,3.23,2.84,3.57,2.88,8.28,3.34,3.44,3.15,4.18,3.29,7.02,2,0.87,0.94,0.9,0.85,0.88,1
1256,0,,DSC01256.JPG,,B04W,B,W,C,,,0.78,4.31,4.54,4.21,3.35,3.16,4.09,3.24,8.46,5.05,3.98,3.93,5.29,4.09,7.38,4,0.83,0.84,0.8,0.77,0.79,1
1257,0,,DSC01257.JPG,,B04W,B,W,N,,,0.85,2.2,2.28,4.64,4.16,3.78,5.32,4.06,6.3,5.68,4.75,4.52,6.63,4.98,5.94,14,0.82,0.88,0.84,0.8,0.82,1
1259,0,,DSC01259.JPG,,B04W,B,W,E,,,0.717,5.44,5.96,2.89,3.1,2.73,3.3,2.86,9.54,3.37,3.37,3.09,3.81,3.24,8.46,0,0.86,0.92,0.88,0.87,0.88,1
1260,0,,DSC01260.JPG,,B04W,B,W,S,,,0.896,1.63,1.73,3.98,4.44,4.08,4.75,3.89,10.44,6.4,5.17,5.43,6.71,5.3,7.74,17,0.62,0.86,0.75,0.71,0.73,1
1261,0,,DSC01261.JPG,,B04W,B,W,W,,,0.905,1.23,1.28,3.82,5.1,4.52,6.38,4.86,6.3,4.67,5.67,5.38,7.83,5.87,5.58,17,0.82,0.9,0.84,0.81,0.83,1
1263,0,,DSC01263.JPG,,B03E,B,E,C,,,0.893,1.61,1.7,5.36,4.45,4.01,5.33,4.21,7.02,6.93,5.39,5.14,7.15,5.52,6.66,15,0.77,0.83,0.78,0.74,0.76,1
1264,0,,DSC01264.JPG,,B03E,B,E,N,,,0.839,2.88,3.27,4.75,4,3.5,3.68,3.32,13.68,5.19,4.62,4.01,4.23,3.81,13.14,3,0.92,0.87,0.87,0.87,0.87,1
1265,0,,DSC01265.JPG,,B03E,B,E,E,,,0.768,5.35,5.69,3,3.07,2.77,3.21,2.69,10.8,3.85,3.42,3.17,3.68,3.11,11.7,0,0.78,0.9,0.87,0.87,0.87,1
1266,0,,DSC01266.JPG,,B03E,B,E,S,,,0.791,5.04,5.34,2.93,3.05,2.82,3.51,2.87,12.6,3.72,3.54,3.35,4.33,3.49,11.16,1,0.79,0.86,0.84,0.81,0.82,1
1267,0,,DSC01267.JPG,,B03E,B,E,W,,,0.832,3.52,3.66,3.59,3.71,3.29,4.87,3.67,6.48,4.22,4,3.82,5.92,4.34,4.68,12,0.85,0.93,0.86,0.82,0.85,1
1269,0,,DSC01269.JPG,,B03W,B,W,C,,,0.825,3.72,4,4.07,3.64,3.14,3.63,3.07,7.92,6.56,3.99,3.86,4.67,3.86,6.84,5,0.62,0.91,0.81,0.78,0.8,1
1270,0,,DSC01270.JPG,,B03W,B,W,N,,,0.684,6.34,6.83,3.27,2.88,2.55,3.12,2.6,14.04,3.55,3.25,3.03,3.78,3.11,12.42,0,0.92,0.89,0.84,0.82,0.84,1
1271,0,,DSC01271.JPG,,B03W,B,W,E,,,0.804,4.07,4.16,3.03,3.48,3.18,4.13,3.21,9.36,4.04,3.98,3.85,5.18,3.95,7.92,6,0.75,0.87,0.82,0.8,0.81,1
1272,0,,DSC01272.JPG,,B03W,B,W,S,,,0.791,3.9,4.14,2.65,3.62,3.33,5.11,3.85,8.64,4.76,4.78,4.69,7.21,5.33,6.48,23,0.56,0.76,0.71,0.71,0.72,1
1273,0,,DSC01273.JPG,,B03W,B,W,W,,,0.825,3.16,3.37,4.58,3.68,3.39,4.15,3.41,10.26,6.07,4.75,4.6,6.05,4.78,9.36,11,0.75,0.77,0.74,0.69,0.71,1
1275,0,,DSC01275.JPG,,B02W,B,W,C,,,0.805,4.04,4.1,3.59,3.56,3.23,4.19,3.24,6.66,3.95,4.16,4.03,5.46,4.1,4.32,6,0.91,0.86,0.8,0.77,0.79,1
1276,0,,DSC01276.JPG,,B02W,B,W,N,,,0.773,5.02,5.13,3.12,3.39,3.15,4.7,3.46,5.94,3.78,3.84,3.88,5.91,4.26,3.24,8,0.83,0.88,0.81,0.79,0.81,1
1277,0,,DSC01277.JPG,,B02W,B,W,E,,,0.824,3.49,3.66,4.41,3.61,3.22,4.05,3.25,9.36,5.19,4.44,4.26,5.47,4.3,7.02,3,0.85,0.81,0.76,0.74,0.76,1
1278,0,,DSC01278.JPG,,B02W,B,W,S,,,0.888,1.92,2.11,4.15,4.18,3.76,4.6,3.83,10.62,5.84,4.87,4.54,5.68,4.67,9.9,6,0.71,0.86,0.83,0.81,0.82,1
1279,0,,DSC01279.JPG,,B02W,B,W,W,,,0.746,4.9,5.07,2.86,3.22,2.94,3.6,2.89,8.64,3.42,3.49,3.25,4.02,3.24,9,0,0.84,0.92,0.9,0.89,0.89,1
1281,0,,DSC01281.JPG,,B02E,B,E,C,,,0.756,5.25,5.47,3.03,3.31,2.92,4.08,3.14,6.66,3.93,4.18,3.92,5.62,4.15,3.78,5,0.77,0.79,0.74,0.73,0.76,1
1282,0,,DSC01282.JPG,,B02E,B,E,N,,,0.681,6.56,7.04,3.02,2.77,2.49,2.87,2.46,11.52,3.42,3.06,2.84,3.29,2.78,12.24,1,0.88,0.91,0.88,0.87,0.88,1
1283,0,,DSC01283.JPG,,B02E,B,E,E,,,0.787,3.46,3.77,3.85,3.62,3.14,3.94,3.27,10.26,4.25,3.97,3.63,4.73,3.8,8.46,2,0.9,0.91,0.87,0.83,0.86,1
1284,0,,DSC01284.JPG,,B02E,B,E,S,,,0.765,4.78,5.21,4.3,3.24,2.88,3.89,3.15,9.72,4.87,3.63,3.39,4.65,3.71,9,2,0.88,0.89,0.85,0.84,0.85,1
1285,0,,DSC01285.JPG,,B02E,B,E,W,,,0.773,4.62,5.23,4.21,3.33,2.96,3,2.75,20.52,5.55,4.16,3.95,4.06,3.69,16.74,6,0.76,0.8,0.75,0.74,0.75,1
1287,0,,DSC01287.JPG,,B01W,B,W,C,,,0.861,2.95,3.27,4.71,3.93,3.38,3.88,3.34,9.9,5.63,4.71,4.41,5.53,4.44,7.38,6,0.84,0.84,0.77,0.7,0.75,1
1288,0,,DSC01288.JPG,,B01W,B,W,N,,,0.864,2.96,3.27,4.62,3.93,3.37,3.86,3.31,10.08,5.38,4.73,4.41,5.53,4.42,7.38,8,0.86,0.83,0.76,0.7,0.75,1
1289,0,,DSC01289.JPG,,B01W,B,W,E,,,0.839,3.53,3.56,3.58,3.79,3.45,4.55,3.47,6.66,4.8,4.24,4.13,5.85,4.32,5.4,7,0.75,0.89,0.84,0.78,0.8,1
1290,0,,DSC01290.JPG,,B01W,B,W,S,,,0.801,4.68,4.84,3.07,3.36,3.02,4.3,3.27,7.74,3.31,3.74,3.63,5.45,4,4.86,7,0.93,0.9,0.83,0.79,0.82,1
1291,0,,DSC01291.JPG,,B01W,B,W,W,,,0.812,4.22,4.26,2.84,3.6,3.26,4.54,3.41,5.76,3.53,4.55,4.44,6.65,4.72,1.98,10,0.81,0.79,0.73,0.68,0.72,1
1292,0,,DSC01292.JPG,,B01W,B,W,X,,,0.873,2.52,2.55,3.52,4.24,3.78,5.53,4.11,3.6,4.33,4.99,4.87,7.28,5.3,5.58,17,0.81,0.85,0.78,0.76,0.78,1
1295,0,,DSC01295.JPG,,B01E,B,E,C,,,0.832,2.04,2.21,3.93,4.12,3.71,4.8,3.89,9.18,4.72,4.62,4.45,6.01,4.71,8.1,9,0.83,0.89,0.83,0.8,0.83,1
1296,0,,DSC01296.JPG,,B01E,B,E,N,,,0.775,4.67,5.07,2.98,3.2,2.81,3.36,2.86,11.16,3.39,3.64,3.55,4.73,3.76,9.72,8,0.88,0.88,0.79,0.71,0.76,1
1297,0,,DSC01297.JPG,,B01E,B,E,E,,,0.804,3.36,3.53,3.14,3.54,3.26,3.99,3.23,10.44,5.61,4.41,4.21,4.92,4.07,8.28,8,0.56,0.8,0.78,0.81,0.79,1
1298,0,,DSC01298.JPG,,B01E,B,E,S,,,0.788,3.76,3.98,3.21,3.39,3.12,3.97,3.2,13.5,3.92,4.17,4.14,6.04,4.57,7.92,12,0.82,0.81,0.75,0.66,0.7,1
1299,0,,DSC01299.JPG,,B01E,B,E,W,,,0.8,3.82,4.17,3.61,3.51,3.15,3.64,3.07,14.76,4.57,4.19,4.04,4.97,3.97,10.98,2,0.79,0.84,0.78,0.73,0.77,1
1301,0,,DSC01301.JPG,,A03E,A,E,C,,,0.781,4.92,5.11,2.92,3.2,2.88,3.66,2.91,8.1,3.39,3.59,3.4,4.33,3.4,7.74,0,0.86,0.89,0.85,0.85,0.86,1
1302,0,,DSC01302.JPG,,A03E,A,E,N,,,0.847,1.57,1.61,3.58,4.6,4.2,5.54,4.3,6.48,5.41,5.64,5.47,7.64,5.72,3.6,20,0.66,0.82,0.77,0.73,0.75,1
1303,0,,DSC01303.JPG,,A03E,A,E,E,,,0.84,1.99,2.09,3.79,4.35,3.95,5.61,4.28,7.02,5.09,5.33,5.23,7.51,5.55,4.5,13,0.74,0.82,0.76,0.75,0.77,1
1304,0,,DSC01304.JPG,,A03E,A,E,S,,,0.827,2.43,2.58,3.66,4,3.64,5.24,4.04,7.56,3.88,4.76,4.62,7,5.18,5.4,14,0.94,0.84,0.79,0.75,0.78,1
1305,0,,DSC01305.JPG,,A03E,A,E,S,,,0.827,2.43,2.58,3.7,4,3.64,5.24,4.04,7.56,3.9,4.75,4.59,6.97,5.16,5.4,14,0.95,0.84,0.79,0.75,0.78,1
1306,0,,DSC01306.JPG,,A03E,A,E,W,,,0.841,2.38,2.47,4.09,4.17,3.71,4.72,3.73,7.92,5.33,5.23,5.09,6.53,5.03,6.3,11,0.77,0.8,0.73,0.72,0.74,1
1308,0,,DSC01308.JPG,,A03W,A,W,C,,,0.823,2.39,2.47,3.51,4.04,3.64,4.53,3.6,8.82,4.09,4.37,4.16,5.4,4.21,7.2,1,0.86,0.92,0.88,0.84,0.85,1
1309,0,,DSC01309.JPG,,A03W,A,W,N,,,0.778,4.88,5.3,2.87,3.13,2.78,3.27,2.79,12.24,3.71,3.69,3.52,4.13,3.45,11.52,0,0.77,0.85,0.79,0.79,0.81,1
1310,0,,DSC01310.JPG,,A03W,A,W,E,,,0.84,2.7,2.9,3.91,3.92,3.57,5.3,4.04,8.1,5.75,5.89,5.63,8.23,6.04,3.06,31,0.68,0.66,0.64,0.64,0.67,1
1311,0,,DSC01311.JPG,,A03W,A,W,S,,,0.883,1.62,1.79,7.04,4.76,4.19,5.02,4.19,7.38,8.82,5.55,5.31,6.68,5.39,5.4,13,0.8,0.86,0.79,0.75,0.78,1
1312,0,,DSC01312.JPG,,A03W,A,W,W,,,0.844,2.04,2.2,4.2,4.21,3.71,4.45,3.7,9,5.79,4.96,4.77,5.78,4.7,6.3,0,0.73,0.85,0.78,0.77,0.79,1
1314,0,,DSC01314.JPG,,A04E,A,E,C,,,0.834,3.38,3.74,3.68,3.63,3.2,3.55,3.13,14.04,5.35,4.32,4.26,5.2,4.28,9.36,5,0.69,0.84,0.75,0.68,0.73,1
1315,0,,DSC01315.JPG,,A04E,A,E,N,,,0.872,1.29,1.33,5.23,4.84,4.45,6.42,4.83,3.78,6.32,5.79,5.93,8.62,6.29,2.34,27,0.83,0.84,0.75,0.74,0.77,1
1316,0,,DSC01316.JPG,,A04E,A,E,E,,,0.823,2.23,2.31,3.36,4.52,4.13,6.62,4.79,3.24,3.59,5.2,5,7.85,5.61,1.44,21,0.93,0.87,0.83,0.84,0.85,1
1317,0,,DSC01317.JPG,,A04E,A,E,S,,,0.791,3.71,3.98,4.52,3.74,3.43,5.41,4.04,7.02,5.66,4.31,4.12,6.45,4.76,5.94,8,0.8,0.87,0.83,0.84,0.85,1
1318,0,,DSC01318.JPG,,A04E,A,E,W,,,0.81,3.31,3.61,3.79,3.8,3.38,4.48,3.61,9,4.47,5.04,5.11,7.49,5.5,2.52,28,0.85,0.75,0.66,0.6,0.66,1
1321,0,,DSC01321.JPG,,A04W,A,W,C,,,0.811,1.93,1.98,4.62,4.62,4.34,7.05,5.03,1.44,5.65,5.88,5.74,8.86,6.14,1.44,40,0.82,0.78,0.76,0.8,0.82,1
1322,0,,DSC01322.JPG,,A04W,A,W,N,,,0.807,2.2,2.35,4.01,4.15,3.65,4.73,3.8,7.74,4.97,4.6,4.23,5.69,4.49,6.12,4,0.81,0.9,0.86,0.83,0.85,1
1323,0,,DSC01323.JPG,,A04W,A,W,E,,,0.816,1.97,2.06,4.16,4.23,3.83,4.93,3.9,7.74,4.33,4.59,4.36,5.83,4.49,6.12,2,0.96,0.92,0.88,0.85,0.87,1
1324,0,,DSC01324.JPG,,A04W,A,W,S,,,0.82,2.02,2.12,4.49,4.22,3.79,4.67,3.76,8.46,5.77,4.77,4.59,5.92,4.61,6.48,2,0.78,0.88,0.83,0.79,0.82,1
1325,0,,DSC01325.JPG,,A04W,A,W,W,,,0.792,2.69,2.82,3.39,3.89,3.46,4.38,3.51,7.56,4.61,4.31,3.99,5.04,4.06,7.74,0,0.73,0.9,0.87,0.87,0.87,1
1326,0,,DSC01326.JPG,,A01E,A,E,C,,,0.796,4.37,4.87,4.33,3.39,2.96,3.15,2.86,10.44,5.23,4.04,3.74,4.19,3.69,8.46,0,0.83,0.84,0.79,0.75,0.77,1
1329,0,,DSC01329.JPG,,A01E,A,E,N,,,0.827,4.26,4.69,3.56,3.33,2.93,3.57,3.04,12.06,4.72,4.01,4.08,5.65,4.52,8.1,13,0.75,0.83,0.72,0.63,0.67,1
1330,0,,DSC01330.JPG,,A01E,A,E,E,,,0.739,5.33,5.75,2.95,3,2.7,3.3,2.78,11.34,3.34,3.5,3.3,4.17,3.41,10.26,1,0.88,0.86,0.82,0.79,0.81,1
1331,0,,DSC01331.JPG,,A01E,A,E,S,,,0.847,3.67,4.09,3.35,3.61,3.1,3.54,3.14,11.52,4.48,4.78,4.62,5.68,4.63,5.94,8,0.75,0.76,0.67,0.62,0.68,1
1332,0,,DSC01332.JPG,,A01E,A,E,W,,,0.822,3.16,3.44,3.9,3.73,3.34,3.95,3.33,10.8,4.57,4.41,4.35,5.17,4.28,8.1,0,0.85,0.85,0.77,0.76,0.78,1
1334,0,,DSC01334.JPG,,A01W,A,W,C,,,0.792,2.9,2.94,2.85,4.29,3.9,6.46,4.55,1.44,4.18,4.9,4.69,7.39,5.27,1.44,17,0.68,0.88,0.83,0.87,0.86,1
1335,0,,DSC01335.JPG,,A01W,A,W,N,,,0.862,1.63,1.68,4.79,4.5,4.14,5.7,4.39,2.88,5.72,5.37,5.22,7.42,5.54,1.44,16,0.84,0.84,0.79,0.77,0.79,1
1336,0,,DSC01336.JPG,,A01W,A,W,E,,,0.861,1.79,1.85,3.41,4.51,4.13,5.92,4.49,3.96,6.02,5.61,5.64,8.1,5.96,1.44,24,0.57,0.8,0.73,0.73,0.75,1
1337,0,,DSC01337.JPG,,A01W,A,W,S,,,0.783,3.68,3.97,4.54,3.52,3.12,3.89,3.2,9.72,5.41,4.64,4.33,5.67,4.43,6.48,3,0.84,0.76,0.72,0.69,0.72,1
1338,0,,DSC01338.JPG,,A01W,A,W,W,,,0.786,3.7,4.17,4.07,3.71,3.16,3.4,3.07,12.78,6.33,4.45,3.93,4.18,3.78,11.52,1,0.64,0.83,0.8,0.81,0.81,1
1340,0,,DSC01340.JPG,,A02W,A,W,C,,,0.747,5.72,6.31,2.73,2.95,2.69,2.95,2.61,15.12,3.61,3.47,3.26,4.02,3.36,11.34,2,0.76,0.85,0.82,0.73,0.78,1
1341,0,,DSC01341.JPG,,A02W,A,W,N,,,0.833,2.18,2.16,4.46,4.56,4.35,6.87,4.87,1.44,7.26,5.98,6.29,9.33,6.53,1.44,51,0.61,0.76,0.69,0.74,0.75,1
1342,0,,DSC01342.JPG,,A02W,A,W,E,,,0.874,2.86,3.21,4.01,4.04,3.55,4.21,3.68,12.06,6.29,5,4.92,6.55,5.3,7.38,16,0.64,0.81,0.72,0.64,0.7,1
1343,0,,DSC01343.JPG,,A02W,A,W,S,,,0.846,2.71,2.84,3.27,4.6,4.23,7.03,5.03,2.34,6.52,6.11,5.74,8.66,6.36,1.44,34,0.5,0.75,0.74,0.81,0.79,1
1344,0,,DSC01344.JPG,,A02W,A,W,W,,,0.766,5.1,5.68,4.23,3.35,3,3.04,2.73,11.7,4.34,3.97,3.94,4.53,3.76,9.18,3,0.98,0.84,0.76,0.67,0.72,1
1346,0,,DSC01346.JPG,,A02E,A,E,C,,,0.905,1.23,1.37,8.38,5.14,4.48,5.08,4.34,7.56,9.31,6.57,6.32,7.47,6.05,5.4,18,0.9,0.78,0.71,0.68,0.72,1
1347,0,,DSC01347.JPG,,A02E,A,E,N,,,0.861,2.13,2.27,4.47,4.17,3.93,6.11,4.54,7.74,6.42,5.38,5.49,8.17,5.95,5.58,31,0.7,0.77,0.72,0.75,0.76,1
1348,0,,DSC01348.JPG,,A02E,A,E,E,,,0.879,1.41,1.5,3.87,4.65,4.11,5.64,4.42,6.84,5.37,5.53,5.33,7.7,5.77,4.86,22,0.72,0.84,0.77,0.73,0.77,1
1349,0,,DSC01349.JPG,,A02E,A,E,S,,,0.86,1.42,1.38,4.99,5.44,5.03,8.02,5.57,1.44,6.98,7,6.73,9.92,6.96,1.44,55,0.72,0.78,0.75,0.81,0.8,1
1350,0,,DSC01350.JPG,,A02E,A,E,W,,,0.861,2.7,2.81,3.43,3.97,3.69,4.84,3.77,8.82,6.37,5.48,5.6,7.78,5.82,3.42,25,0.54,0.72,0.66,0.62,0.65,1
